"fecha","año","mes","est","parámetro","valor"
2020-03-25,"2020","3","RZ-05","Temperatura",19
2020-03-25,"2020","3","RZ-05","pH",7.6
2020-03-25,"2020","3","RZ-05","Oxígeno disuelto",6.77
2020-03-25,"2020","3","RZ-05","Conductividad",543
2020-03-25,"2020","3","RZ-05","Turbiedad",7.3
2020-03-25,"2020","3","RZ-05","Alcalinidad total",215.99
2020-03-25,"2020","3","RZ-05","Cloruros totales",23.95
2020-03-25,"2020","3","RZ-05","Dureza total",106.49
2020-03-25,"2020","3","RZ-05","Fluoruros",0.91
2020-03-25,"2020","3","RZ-05","Nitrógeno de nitratos",0.28
2020-03-25,"2020","3","RZ-05","Nitrógeno de nitritos",0.138
2020-03-25,"2020","3","RZ-05","Nitrógeno amoniacal",13.98
2020-03-25,"2020","3","RZ-05","Nitrógeno total Kjeldahl",14.97
2020-03-25,"2020","3","RZ-05","Sulfatos",29.4
2020-03-25,"2020","3","RZ-05","SAAM",1.35
2020-03-25,"2020","3","RZ-05","DBO Turbiedad",6.57
2020-03-25,"2020","3","RZ-05","DQO",35.92
2020-03-25,"2020","3","RZ-05","Grasas y aceites",5.52
2020-03-25,"2020","3","RZ-05","Fósforo total",2.48
2020-03-25,"2020","3","RZ-05","SST",13
2020-03-25,"2020","3","RZ-05","Sólidos disueltos tot.",300
2020-03-25,"2020","3","RZ-05","Sólidos sedimentables",0.1
2020-03-25,"2020","3","RZ-05","Sulfuros",0.78
2020-03-25,"2020","3","RZ-05","Aluminio",0.655
2020-03-25,"2020","3","RZ-05","Arsénico",0.0025
2020-03-25,"2020","3","RZ-05","Bario",0.105
2020-03-25,"2020","3","RZ-05","Cadmio",5e-04
2020-03-25,"2020","3","RZ-05","Cobre",0.05
2020-03-25,"2020","3","RZ-05","Cromo",0.05
2020-03-25,"2020","3","RZ-05","Fierro",0.957
2020-03-25,"2020","3","RZ-05","Manganeso",0.189
2020-03-25,"2020","3","RZ-05","Mercurio",78000
2020-03-25,"2020","3","RZ-05","Níquel",0.1
2020-03-25,"2020","3","RZ-05","Plomo",0.0025
2020-03-25,"2020","3","RZ-05","Sodio",36.6
2020-03-25,"2020","3","RZ-05","Zinc",0.02
2020-03-25,"2020","3","RZ-05","Coliformes totales",1100000
2020-03-25,"2020","3","RZ-05","Coliformes fecales",460000
2020-03-25,"2020","3","RZ-05","Temp. ambiente",26
2020-03-25,"2020","3","RZ-05","Acidez total",14.72
2020-03-25,"2020","3","RZ-05","Dureza de calcio",65.99
2020-03-25,"2020","3","RZ-05","Sólidos totales",313
2020-03-25,"2020","3","RZ-05","Nitrógeno total",15.39
2020-03-25,"2020","3","RZ-04","Temperatura",19
2020-03-25,"2020","3","RZ-04","pH",7.9
2020-03-25,"2020","3","RZ-04","Oxígeno disuelto",7.3
2020-03-25,"2020","3","RZ-04","Conductividad",424
2020-03-25,"2020","3","RZ-04","Turbiedad",14
2020-03-25,"2020","3","RZ-04","Alcalinidad total",140.27
2020-03-25,"2020","3","RZ-04","Cloruros totales",17.44
2020-03-25,"2020","3","RZ-04","Dureza total",125.58
2020-03-25,"2020","3","RZ-04","Fluoruros",0.27
2020-03-25,"2020","3","RZ-04","Nitrógeno de nitratos",13.71
2020-03-25,"2020","3","RZ-04","Nitrógeno de nitritos",0.395
2020-03-25,"2020","3","RZ-04","Nitrógeno amoniacal",0.5
2020-03-25,"2020","3","RZ-04","Nitrógeno total Kjeldahl",1.05
2020-03-25,"2020","3","RZ-04","Sulfatos",15.16
2020-03-25,"2020","3","RZ-04","SAAM",0.26
2020-03-25,"2020","3","RZ-04","DBO Turbiedad",3.42
2020-03-25,"2020","3","RZ-04","DQO",18
2020-03-25,"2020","3","RZ-04","Grasas y aceites",6.7
2020-03-25,"2020","3","RZ-04","Fósforo total",0.85
2020-03-25,"2020","3","RZ-04","SST",15
2020-03-25,"2020","3","RZ-04","Sólidos disueltos tot.",293
2020-03-25,"2020","3","RZ-04","Sólidos sedimentables",0.1
2020-03-25,"2020","3","RZ-04","Sulfuros",0.1
2020-03-25,"2020","3","RZ-04","Aluminio",1
2020-03-25,"2020","3","RZ-04","Arsénico",0.0025
2020-03-25,"2020","3","RZ-04","Bario",670
2020-03-25,"2020","3","RZ-04","Cadmio",78000
2020-03-25,"2020","3","RZ-04","Cobre",0.05
2020-03-25,"2020","3","RZ-04","Cromo",0.05
2020-03-25,"2020","3","RZ-04","Fierro",1.03
2020-03-25,"2020","3","RZ-04","Manganeso",0.125
2020-03-25,"2020","3","RZ-04","Mercurio",76000
2020-03-25,"2020","3","RZ-04","Níquel",0.1
2020-03-25,"2020","3","RZ-04","Plomo",0.0025
2020-03-25,"2020","3","RZ-04","Sodio",24
2020-03-25,"2020","3","RZ-04","Zinc",0.02
2020-03-25,"2020","3","RZ-04","Coliformes totales",46000
2020-03-25,"2020","3","RZ-04","Coliformes fecales",46000
2020-03-25,"2020","3","RZ-04","Temp. ambiente",30
2020-03-25,"2020","3","RZ-04","Acidez total",5.7
2020-03-25,"2020","3","RZ-04","Dureza de calcio",140.27
2020-03-25,"2020","3","RZ-04","Sólidos totales",308
2020-03-25,"2020","3","RZ-04","Nitrógeno total",15.16
2020-03-25,"2020","3","RZ-03","Temperatura",21
2020-03-25,"2020","3","RZ-03","pH",7.8
2020-03-25,"2020","3","RZ-03","Oxígeno disuelto",7.05
2020-03-25,"2020","3","RZ-03","Conductividad",575
2020-03-25,"2020","3","RZ-03","Turbiedad",11
2020-03-25,"2020","3","RZ-03","Alcalinidad total",220.76
2020-03-25,"2020","3","RZ-03","Cloruros totales",37.76
2020-03-25,"2020","3","RZ-03","Dureza total",142.9
2020-03-25,"2020","3","RZ-03","Fluoruros",0.28
2020-03-25,"2020","3","RZ-03","Nitrógeno de nitratos",0.3
2020-03-25,"2020","3","RZ-03","Nitrógeno de nitritos",560
2020-03-25,"2020","3","RZ-03","Nitrógeno amoniacal",6
2020-03-25,"2020","3","RZ-03","Nitrógeno total Kjeldahl",7.4
2020-03-25,"2020","3","RZ-03","Sulfatos",10.57
2020-03-25,"2020","3","RZ-03","SAAM",0.39
2020-03-25,"2020","3","RZ-03","DBO Turbiedad",5.39
2020-03-25,"2020","3","RZ-03","DQO",29.03
2020-03-25,"2020","3","RZ-03","Grasas y aceites",5.14
2020-03-25,"2020","3","RZ-03","Fósforo total",1.29
2020-03-25,"2020","3","RZ-03","SST",17
2020-03-25,"2020","3","RZ-03","Sólidos disueltos tot.",333
2020-03-25,"2020","3","RZ-03","Sólidos sedimentables",0.1
2020-03-25,"2020","3","RZ-03","Sulfuros",0.1
2020-03-25,"2020","3","RZ-03","Aluminio",0.538
2020-03-25,"2020","3","RZ-03","Arsénico",0.0025
2020-03-25,"2020","3","RZ-03","Bario",0.101
2020-03-25,"2020","3","RZ-03","Cadmio",50000
2020-03-25,"2020","3","RZ-03","Cobre",0.05
2020-03-25,"2020","3","RZ-03","Cromo",0.05
2020-03-25,"2020","3","RZ-03","Fierro",0.909
2020-03-25,"2020","3","RZ-03","Manganeso",0.371
2020-03-25,"2020","3","RZ-03","Mercurio",67000
2020-03-25,"2020","3","RZ-03","Níquel",0.1
2020-03-25,"2020","3","RZ-03","Plomo",2500
2020-03-25,"2020","3","RZ-03","Sodio",40.3
2020-03-25,"2020","3","RZ-03","Zinc",210
2020-03-25,"2020","3","RZ-03","Coliformes totales",15000
2020-03-25,"2020","3","RZ-03","Coliformes fecales",9300
2020-03-25,"2020","3","RZ-03","Temp. ambiente",31
2020-03-25,"2020","3","RZ-03","Acidez total",8.56
2020-03-25,"2020","3","RZ-03","Dureza de calcio",86.68
2020-03-25,"2020","3","RZ-03","Sólidos totales",350
2020-03-25,"2020","3","RZ-03","Nitrógeno total",7.76
2020-03-25,"2020","3","RL-02","Temperatura",27
2020-03-25,"2020","3","RL-02","pH",6.7
2020-03-25,"2020","3","RL-02","Oxígeno disuelto",0.39
2020-03-25,"2020","3","RL-02","Conductividad",1067
2020-03-25,"2020","3","RL-02","Turbiedad",150
2020-03-25,"2020","3","RL-02","Alcalinidad total",406.41
2020-03-25,"2020","3","RL-02","Cloruros totales",68.55
2020-03-25,"2020","3","RL-02","Dureza total",685
2020-03-25,"2020","3","RL-02","Fluoruros",1.37
2020-03-25,"2020","3","RL-02","Nitrógeno de nitratos",0.19
2020-03-25,"2020","3","RL-02","Nitrógeno de nitritos",0.01
2020-03-25,"2020","3","RL-02","Nitrógeno amoniacal",6.17
2020-03-25,"2020","3","RL-02","Nitrógeno total Kjeldahl",9.43
2020-03-25,"2020","3","RL-02","Sulfatos",92.26
2020-03-25,"2020","3","RL-02","SAAM",2.57
2020-03-25,"2020","3","RL-02","DBO Turbiedad",36.84
2020-03-25,"2020","3","RL-02","DQO",80.2
2020-03-25,"2020","3","RL-02","Grasas y aceites",8.36
2020-03-25,"2020","3","RL-02","Fósforo total",2.32
2020-03-25,"2020","3","RL-02","SST",305
2020-03-25,"2020","3","RL-02","Sólidos disueltos tot.",680
2020-03-25,"2020","3","RL-02","Sólidos sedimentables",3
2020-03-25,"2020","3","RL-02","Sulfuros",2.92
2020-03-25,"2020","3","RL-02","Aluminio",13.85
2020-03-25,"2020","3","RL-02","Arsénico",0.0025
2020-03-25,"2020","3","RL-02","Bario",0.197
2020-03-25,"2020","3","RL-02","Cadmio",57000
2020-03-25,"2020","3","RL-02","Cobre",0.05
2020-03-25,"2020","3","RL-02","Cromo",0.05
2020-03-25,"2020","3","RL-02","Fierro",8.121
2020-03-25,"2020","3","RL-02","Manganeso",0.253
2020-03-25,"2020","3","RL-02","Mercurio",5e-04
2020-03-25,"2020","3","RL-02","Níquel",0.1
2020-03-25,"2020","3","RL-02","Plomo",7300
2020-03-25,"2020","3","RL-02","Sodio",116
